rating,tanggal,ulasan,sentimen,,label
5,3 bulan lalu,"Hypermarket dengan isi terlengkap. Terdapat banyak produk makanan, perlengkapan rumah tangga, elektronik, pakaian. Harga produk nya murah namun berkualitas. Terdapat juga tempat permainan anak dan food court. Tempat nya luas dan nyaman. Toilet nya bersih. Parkiran nya luas. Pegawai nya pada baik dan ramah...",positif,,2
5,4 bulan lalu,"Hypermarket yang harganya murah
Tempatnya besar banget
Tempat parkir luas
Nyaman belanja disini",positif,,2
1,6 bulan lalu,Sekelas Assalaam ngambilin gelas hadiah teh ber belit2 ampun nunggu nya lama banget akhirnya tinggal pulang. Udah langanan di sini tapi pelayanannya gini amat,negatif,,0
5,setahun lalu,"Muslim Friendly!!!🧕🕋

Tersedia berbagai macam kebutuhan mulai dari sayur, buah, cemilan, Frozen food, ikan segar, prabot rumah tangga, furniture, pakaian muslim, buku bacaan, Al Qur'an dan berbagai kebutuhan lainnya. Fasilitas yang disediakan juga lengkap terdapat masjid, area parkir mobil cukup luas, area parkir motor, ATM, tempat makan menu berat hingga makanan street food, tempat penitipan barang, area bermain anak-anak. Di sini juga sering digunakan untuk event seperti lomba mewarnai, lomba memasak, maupun kegiatan seru lainnya. Sudah beberapa kali ke sini dan paling sering tujuannya selain beli buah ya untuk cari gamis muslimah 💐. Banyak pilihan bahan gamis, maupun model. Ngga hanya gamis, tapi juga Koko muslim, pakaian muslim anak, mukena, serta Khimar. Jangan lupa mampir ke sini ya :)",positif,,2
5,7 bulan lalu,"Lengkap, murah, luas dan nyaman. Pelayanan sangat baik dan ramah💚",positif,,2
1,6 bulan lalu,"Cerita pengalaman yang sangat2 menyebalkan. Nanya batrai remot ke yang jual jam tangan ( depan pintu masuk supermarket ) .
""Pak ada batrai yg  kecil nggak buat remot mobil""? Jawabnya .ya ada ! Lha carinya yg apa ! Yg seri apa !
Dari awal jawab ketus resee..
Tak jawab lagi ""ya makanya saya nanya dulu, kalau ada ya saya cek dulu punya sya seri berapa . ( aku sambil ngecek"" hp buat cari foto batrai yg punyaku seri apa) . Tiba"" dia naruh batrai di depanku. Diatas etalase kaca ( agak dilempar karna kenceng) sambil bilang ""ini to! Batrai mobil kecil gini to!
Aku jawab ""bentar masih nyari dulu saya""

Akhirnya krn gk ketemu juga dihp. Aku cobalah buka remot mobil langsung. Sudah setengah terbuka , lalu aku minta pinjem alat buat muter baut , tiba2 dia nawarin ""mo dibukain skalian gk? Oyaudah skalian aja pak.  ( dia yang menawarkan diri )

Udah kan.. akhirnya tau seri apa . Tiba"" dia melempar beberapa batrai ke etalase meja dia. Sangat"" gak sopan ! Bpk tua satu itu. Sama pembeli arogan . Tidak punya etika.
Sepanjang berkomunikasi dari awal saja benar"" penuh emosi !!!!

Akhirnya dia menawarkan batrai 1 biji seharga 50rb ! What ????? Yang bener aja lu , batrai ku merk panasonic beli di laris aja cuma 10rb . Yang dia tawarin merk lithium CR seharga 35rb. Pdahal aslinya cuma 7rb . Hadeh2
Berhubung dia gk ada adab dalam berjualan. Segala dibanting"".
Aku gak jadi beli !
Kemahalan dan arogan !!!

Jual klo cari untung yang nalar dikit.
Sama pembeli perempuan kog gak sopan ! Ada satpam goro disebelah kita. Dia cuma melihat saja dan mendengar

Setelah saya memutuskan untuk gakjadi beli. Saya jalan pergi kearah mainan . Bapak yg jualan tiba2 menyoraki saya dibelakang ( huuuu ) sepert itu. Dikira saya budeg ?? Tapi saya diam saja dan lanjut jalan tanpa menengok. !  Karna saya merasa lebih waras ! Kalau mau saya ladenin pasti rame  !!!",negatif,,0
5,setahun lalu,"Kalau ngomongin tempat belanja favorit anak kos UMS, Assalam Hypermarket pasti masuk list teratas. Soalnya di sini hampir semua kebutuhan ada, mulai dari sembako, sayur, camilan, alat mandi, sampai lauk siap makan pun ada.

Harganya juga masih masuk akal dibanding belanja di retail minimarket. Paling kesini sebulan atau dua bulan sekali.

Banyak promo juga, khususnya buah-buah dan sayur gitu apalagi di jam-jam mau tutup.

Lokasinya juga strategis banget, overall ya mantap.",,,
4,6 bulan lalu,"Salah satu supermarket yang besar ada masjid, food court, barbershop, baju, tempat bermain anak lengkap banget 👍 mau nyari apa aja ada.
Di dalemnya juga ada sayuran buah dan beberapa perabot rumah tangga suka banget belanja di sini
Karyawannya juga ramah"" banget sangat membantu customer.
Tapi ada hal yg kurang mengenakan itu saat antri kasir pas sampe kasir itungin barang customer lain di belakang antrinya nempel bgt di belakang jadi kurang nyaman karena kalau mau bayar pake kartu debit dan harus masukin PIN jadi agak terganggu dan risih sama customer di belakang. Mungkin kalau bisa kasirnya menegur utk customer yg di belakang antrinya di belakang garis antrian supaya bisa ngasih space buat customer yg lagi transaksi
Jujur risih bgt karena kayak jadi buru""in",netral,,1
5,4 tahun lalu,"Salah satu tempat belanja atau groceries shop terlengkap dan harga affordable sekali.
Sudah langganan disini sejak SMP hingga sekarang
Disini tempatnya luas, parkir mobil sangat luas, parkir motor juga sama luasnya.
Barang-barang yang dijual sangat banyak dan beragam macam. Mulai dari peralatan mandi, perkakas mobil, tv, motor, lemari, bantal, karpet, peralatan cuci dan seterika, minuman, makanan, cemilan, buah-buahan, baju anak, baju dewasa, celana panjang, celana pendek, celana santai dan banyak banget pokoknya.
Selain itu banyak tenant yang menjajakan aneka makanan - minuman dan banyak penjual baju muslim, peralatan sholat, toko buku, toko peralatan makan, peralatan masak.
Jadi kamu bisa jajan setelah belanja. Pilihannya banyak kok
Disini juga banyak promo-promo atau diskon yang memanjakanmu. Pelayanannya ramah tamah, biaya parkir flat, tempat luas.",positif,,2
2,3 bulan lalu,Goro nya bagus tp makan sekali di dalem malah makan nasgor kemasukan skrup di food tenant dalem deket tempat belanja 👎 yg jual makanan dikasi tau langsung ngacir,negatif,,0
