ulasan,final_text,sentimen,label
"Hypermarket dengan isi terlengkap. Terdapat banyak produk makanan, perlengkapan rumah tangga, elektronik, pakaian. Harga produk nya murah namun berkualitas. Terdapat juga tempat permainan anak dan food court. Tempat nya luas dan nyaman. Toilet nya bersih. Parkiran nya luas. Pegawai nya pada baik dan ramah...",hypermarket isi lengkap produk makan lengkap rumah tangga elektronik pakai harga produk murah kualitas main anak food court luas nyaman toilet bersih parkir luas pegawai ramah,positif,1
"Hypermarket yang harganya murah
Tempatnya besar banget
Tempat parkir luas
Nyaman belanja disini",hypermarket harga murah tempat parkir luas nyaman belanja,positif,1
Sekelas Assalaam ngambilin gelas hadiah teh ber belit2 ampun nunggu nya lama banget akhirnya tinggal pulang. Udah langanan di sini tapi pelayanannya gini amat,kelas assalaam ngambilin gelas hadiah teh ber belit ampun nunggu tinggal pulang langanan layan gin,negatif,0
"Muslim Friendly!!!🧕🕋

Tersedia berbagai macam kebutuhan mulai dari sayur, buah, cemilan, Frozen food, ikan segar, prabot rumah tangga, furniture, pakaian muslim, buku bacaan, Al Qur'an dan berbagai kebutuhan lainnya. Fasilitas yang disediakan juga lengkap terdapat masjid, area parkir mobil cukup luas, area parkir motor, ATM, tempat makan menu berat hingga makanan street food, tempat penitipan barang, area bermain anak-anak. Di sini juga sering digunakan untuk event seperti lomba mewarnai, lomba memasak, maupun kegiatan seru lainnya. Sudah beberapa kali ke sini dan paling sering tujuannya selain beli buah ya untuk cari gamis muslimah 💐. Banyak pilihan bahan gamis, maupun model. Ngga hanya gamis, tapi juga Koko muslim, pakaian muslim anak, mukena, serta Khimar. Jangan lupa mampir ke sini ya :)",muslim ramah sedia butuh sayur buah cemilan frozen food ikan segar prabot rumah tangga furniture pakai muslim buku baca al qur an butuh fasilitas sedia lengkap masjid area parkir mobil luas area parkir motor atm makan menu berat makan street food titip barang area main anak anak event lomba warna lomba masak giat seru kali tuju beli buah ya cari gamis muslimah pilih bahan gamis model gamis koko muslim pakai muslim anak mukena khimar lupa mampir ya,positif,1
"Lengkap, murah, luas dan nyaman. Pelayanan sangat baik dan ramah💚",lengkap murah luas nyaman layan ramah,positif,1
"Cerita pengalaman yang sangat2 menyebalkan. Nanya batrai remot ke yang jual jam tangan ( depan pintu masuk supermarket ) .
""Pak ada batrai yg  kecil nggak buat remot mobil""? Jawabnya .ya ada ! Lha carinya yg apa ! Yg seri apa !
Dari awal jawab ketus resee..
Tak jawab lagi ""ya makanya saya nanya dulu, kalau ada ya saya cek dulu punya sya seri berapa . ( aku sambil ngecek"" hp buat cari foto batrai yg punyaku seri apa) . Tiba"" dia naruh batrai di depanku. Diatas etalase kaca ( agak dilempar karna kenceng) sambil bilang ""ini to! Batrai mobil kecil gini to!
Aku jawab ""bentar masih nyari dulu saya""

Akhirnya krn gk ketemu juga dihp. Aku cobalah buka remot mobil langsung. Sudah setengah terbuka , lalu aku minta pinjem alat buat muter baut , tiba2 dia nawarin ""mo dibukain skalian gk? Oyaudah skalian aja pak.  ( dia yang menawarkan diri )

Udah kan.. akhirnya tau seri apa . Tiba"" dia melempar beberapa batrai ke etalase meja dia. Sangat"" gak sopan ! Bpk tua satu itu. Sama pembeli arogan . Tidak punya etika.
Sepanjang berkomunikasi dari awal saja benar"" penuh emosi !!!!

Akhirnya dia menawarkan batrai 1 biji seharga 50rb ! What ????? Yang bener aja lu , batrai ku merk panasonic beli di laris aja cuma 10rb . Yang dia tawarin merk lithium CR seharga 35rb. Pdahal aslinya cuma 7rb . Hadeh2
Berhubung dia gk ada adab dalam berjualan. Segala dibanting"".
Aku gak jadi beli !
Kemahalan dan arogan !!!

Jual klo cari untung yang nalar dikit.
Sama pembeli perempuan kog gak sopan ! Ada satpam goro disebelah kita. Dia cuma melihat saja dan mendengar

Setelah saya memutuskan untuk gakjadi beli. Saya jalan pergi kearah mainan . Bapak yg jualan tiba2 menyoraki saya dibelakang ( huuuu ) sepert itu. Dikira saya budeg ?? Tapi saya diam saja dan lanjut jalan tanpa menengok. !  Karna saya merasa lebih waras ! Kalau mau saya ladenin pasti rame  !!!",cerita alam sebal nanya batrai remot jual jam tangan pintu masuk supermarket batrai remot mobil ya lha cari seri ketus resee ya nanya ya cek sya seri ngecek hp cari foto batrai punya seri naruh batrai depan atas etalase kaca lempar kenceng bilang to batrai mobil gin to bentar nyari ketemu dihp coba buka remot mobil langsung buka pinjem alat muter baut nawarin mo dibukain skalian oyaudah skalian tawar tau seri lempar batrai etalase meja sopan bpk tua beli arogan etika komunikasi penuh emosi tawar batrai biji harga rb what bener batrai ku merk panasonic beli laris rb tawarin merk lithium cr harga rb pdahal asli rb hadeh hubung adab jual banting beli mahal arogan jual cari untung nalar dikit beli perempuan kog sopan satpam goro belah dengar putus gakjadi beli jalan pergi arah main jual sorak belakang huuuu sepert budeg diam jalan tengok waras ladenin rame,negatif,0
"Kalau ngomongin tempat belanja favorit anak kos UMS, Assalam Hypermarket pasti masuk list teratas. Soalnya di sini hampir semua kebutuhan ada, mulai dari sembako, sayur, camilan, alat mandi, sampai lauk siap makan pun ada.

Harganya juga masih masuk akal dibanding belanja di retail minimarket. Paling kesini sebulan atau dua bulan sekali.

Banyak promo juga, khususnya buah-buah dan sayur gitu apalagi di jam-jam mau tutup.

Lokasinya juga strategis banget, overall ya mantap.",ngomongin belanja favorit anak kos ums assalam hypermarket masuk list atas butuh sembako sayur camil alat mandi lauk makan harga masuk akal banding belanja retail minimarket kesini bulan promosi buah buah sayur jam jam tutup lokasi strategis overall ya mantap,positif,1
"Salah satu supermarket yang besar ada masjid, food court, barbershop, baju, tempat bermain anak lengkap banget 👍 mau nyari apa aja ada.
Di dalemnya juga ada sayuran buah dan beberapa perabot rumah tangga suka banget belanja di sini
Karyawannya juga ramah"" banget sangat membantu customer.
Tapi ada hal yg kurang mengenakan itu saat antri kasir pas sampe kasir itungin barang customer lain di belakang antrinya nempel bgt di belakang jadi kurang nyaman karena kalau mau bayar pake kartu debit dan harus masukin PIN jadi agak terganggu dan risih sama customer di belakang. Mungkin kalau bisa kasirnya menegur utk customer yg di belakang antrinya di belakang garis antrian supaya bisa ngasih space buat customer yg lagi transaksi
Jujur risih bgt karena kayak jadi buru""in",salah supermarket masjid food court barbershop baju main anak lengkap nyari dalem sayur buah perabot rumah tangga suka belanja karyawannya ramah bantu customer kena antri kasir pas sampe kasir itungin barang customer antri nempel banget nyaman bayar pake kartu debit masukin pin ganggu risih customer kasir tegur customer antri garis antri ngasih space customer transaksi jujur risih banget kayak buru in,positif,1
"Salah satu tempat belanja atau groceries shop terlengkap dan harga affordable sekali.
Sudah langganan disini sejak SMP hingga sekarang
Disini tempatnya luas, parkir mobil sangat luas, parkir motor juga sama luasnya.
Barang-barang yang dijual sangat banyak dan beragam macam. Mulai dari peralatan mandi, perkakas mobil, tv, motor, lemari, bantal, karpet, peralatan cuci dan seterika, minuman, makanan, cemilan, buah-buahan, baju anak, baju dewasa, celana panjang, celana pendek, celana santai dan banyak banget pokoknya.
Selain itu banyak tenant yang menjajakan aneka makanan - minuman dan banyak penjual baju muslim, peralatan sholat, toko buku, toko peralatan makan, peralatan masak.
Jadi kamu bisa jajan setelah belanja. Pilihannya banyak kok
Disini juga banyak promo-promo atau diskon yang memanjakanmu. Pelayanannya ramah tamah, biaya parkir flat, tempat luas.",salah belanja groceries shop lengkap harga affordable langgan smp tempat luas parkir mobil luas parkir motor luas barang barang jual agam alat mandi perkakas mobil tv motor lemari bantal karpet alat cuci terika minum makan cemilan buah buah baju anak baju dewasa celana celana pendek celana santai pokok tenant jaja aneka makan minum jual baju muslim alat sholat toko buku toko alat makan alat masak jajan belanja pilih promosi promosi diskon manja layan ramah tamah biaya parkir flat luas,positif,1
Goro nya bagus tp makan sekali di dalem malah makan nasgor kemasukan skrup di food tenant dalem deket tempat belanja 👎 yg jual makanan dikasi tau langsung ngacir,goro bagus makan dalem makan nasgor masuk skrup food tenant dalem deket belanja jual makan kasi tau langsung ngacir,negatif,0
